0,NULL,NULL,"123",0,"Admin"
1,NULL,NULL,"123",0,"user1"
2,NULL,NULL,"123",0,"user2"
3,NULL,NULL,"123",1,"user3"
4,NULL,NULL,"123",5,"user4"
5,NULL,NULL,"123",10,"user5"
6,NULL,NULL,"123",7,"user6"
7,NULL,NULL,"123",20,"user7"
8,NULL,NULL,"123",3,"user8"
9,NULL,NULL,"123",8,"user9"
10,NULL,NULL,"123",12,"user10"
11,NULL,NULL,"123",11,"user11"
12,NULL,NULL,"123",6,"user12"
13,NULL,NULL,"123",6,"user13"
14,NULL,NULL,"123",14,"user14"
15,NULL,NULL,"123",15,"user15"
16,NULL,NULL,"123",19,"user16"
17,NULL,NULL,"123",2,"user17"
18,NULL,NULL,"123",1,"user18"
19,NULL,NULL,"123",9,"user19"
20,NULL,NULL,"123",0,"user20"
21,NULL,NULL,"123",10,"user21"
22,NULL,NULL,"123",10,"user22"
23,NULL,NULL,"123",4,"user23"
24,NULL,NULL,"123",21,"user24"
25,NULL,NULL,"123",0,"user25"
